product_category_name_english,order_year,order_month,category_items,category_orders,category_gmv,category_freight
la_cuisine,2017,2017-07,4,4,469.99,89.24
luggage_accessories,2017,2017-07,69,68,7519.10999999999,1548.2900000000002
market_place,2017,2017-07,13,13,1573.3799999999999,226.57
music,2017,2017-07,1,1,329.0,21.54
musical_instruments,2017,2017-07,27,23,4655.589999999999,576.9600000000002
office_furniture,2017,2017-07,106,90,15102.85999999999,3647.069999999999
party_supplies,2017,2017-07,1,1,69.9,13.51
perfumery,2017,2017-07,126,119,12910.019999999986,1865.5100000000014
pet_shop,2017,2017-07,83,69,6103.979999999996,1469.6300000000003
signaling_and_security,2017,2017-07,6,5,530.1899999999999,154.6
small_appliances,2017,2017-07,34,33,4621.359999999997,764.79
sports_leisure,2017,2017-07,382,332,34996.52000000015,6772.480000000001
stationery,2017,2017-07,79,74,6392.749999999997,1314.85
tablets_printing_image,2017,2017-07,2,2,198.0,21.63
telephony,2017,2017-07,144,136,9064.859999999986,2139.969999999997
toys,2017,2017-07,203,197,21942.120000000028,3455.79
watches_gifts,2017,2017-07,153,142,21658.790000000008,2395.75
NULL,2017,2017-07,61,55,3124.6600000000017,909.3000000000002
agro_industry_and_commerce,2017,2017-08,4,1,88.0,136.6
air_conditioning,2017,2017-08,13,11,2681.77,263.88
art,2017,2017-08,4,4,244.70000000000002,72.36
audio,2017,2017-08,7,7,1050.6999999999998,95.74000000000001
auto,2017,2017-08,162,131,17724.170000000013,2963.140000000001
baby,2017,2017-08,121,114,13647.459999999986,2365.5800000000004
bed_bath_table,2017,2017-08,511,447,56903.43000000019,9064.85000000001
books_general_interest,2017,2017-08,28,28,2314.9000000000005,419.54999999999995
books_imported,2017,2017-08,1,1,61.0,9.34
books_technical,2017,2017-08,9,9,1196.38,128.60000000000002
cds_dvds_musicals,2017,2017-08,3,2,135.0,42.16
christmas_supplies,2017,2017-08,1,1,58.9,17.98
computers_accessories,2017,2017-08,346,294,31429.740000000173,5767.38000000001
consoles_games,2017,2017-08,88,83,7719.359999999995,1494.0599999999997
construction_tools_construction,2017,2017-08,7,6,1180.0,214.32999999999996
construction_tools_lights,2017,2017-08,2,2,589.0,81.98
construction_tools_safety,2017,2017-08,1,1,8.9,15.79
cool_stuff,2017,2017-08,253,232,34114.16000000012,4782.3600000000015
costruction_tools_garden,2017,2017-08,10,7,1286.19,196.81
drinks,2017,2017-08,2,2,119.9,28.869999999999997
dvds_blu_ray,2017,2017-08,6,6,113.4,118.43
electronics,2017,2017-08,56,52,2854.1500000000015,911.7100000000005
fashio_female_clothing,2017,2017-08,4,4,188.7,46.95
